accuracy,loss,acc_convergence,acc_valid,loss_valid,parameters,hidden_nodes,filters,filter_size,pooling_size,pooling_type,dropout
0.8244,0.6068,0,True,True,177147,151,45,"(2, 2)","(5, 5)",average,29
0.9584,0.1807,0,True,True,645919,199,88,"(5, 5)","(4, 4)",average,59
0.4439,1.7279,0,True,True,35297,22,31,"(3, 3)","(4, 4)",average,48
0.7664,0.8125,8,False,False,12412,154,1,"(4, 4)","(4, 4)",max,3
0.7101,1.0113,0,True,True,39425,14,91,"(5, 5)","(5, 5)",max,4
0.8986,0.3677,9,False,False,14351,47,10,"(4, 4)","(5, 5)",max,0
0.8599,0.5597,0,True,True,46261,22,25,"(3, 3)","(3, 3)",average,13
0.9656,0.1328,9,True,False,1228955,248,100,"(3, 3)","(4, 4)",average,16
0.9821,0.0798,7,True,False,1894253,242,46,"(4, 4)","(2, 2)",max,21
0.9444,0.1988,7,False,False,302203,229,26,"(2, 2)","(4, 4)",max,5
0.9715,0.139,0,True,True,192517,121,19,"(4, 4)","(3, 3)",max,57
0.9764,0.1009,10,True,False,1008135,199,78,"(5, 5)","(3, 3)",average,21
0.9132,0.3764,0,True,True,226983,98,28,"(2, 2)","(3, 3)",max,57
0.9491,0.1959,0,True,True,247736,143,67,"(3, 3)","(5, 5)",max,20
0.9221,0.2843,10,True,True,52375,192,9,"(5, 5)","(5, 5)",average,12
0.9726,0.1123,0,True,True,2653154,214,73,"(4, 4)","(2, 2)",average,59
0.9773,0.1038,0,True,True,512095,127,49,"(4, 4)","(3, 3)",max,22
0.9494,0.1957,0,True,True,165524,179,35,"(3, 3)","(5, 5)",max,33
0.9631,0.1563,5,False,False,1050580,223,95,"(3, 3)","(4, 4)",max,1
0.9552,0.1863,0,True,True,206827,153,36,"(4, 4)","(4, 4)",average,37
0.9583,0.1829,0,True,True,68859,70,36,"(5, 5)","(5, 5)",max,17
0.9858,0.0735,0,True,True,606495,166,99,"(5, 5)","(4, 4)",max,31
0.8645,0.4979,0,True,True,28309,70,14,"(4, 4)","(5, 5)",average,29
0.9857,0.0707,0,True,True,982447,256,59,"(5, 5)","(3, 3)",max,41
0.98,0.093,0,True,True,2464450,223,65,"(5, 5)","(2, 2)",max,50
0.9337,0.2842,0,True,True,56837,80,26,"(4, 4)","(5, 5)",max,52
0.877,0.5173,0,True,True,210134,53,23,"(5, 5)","(2, 2)",max,51
0.9711,0.124,0,True,True,389927,236,25,"(5, 5)","(3, 3)",average,39
0.9148,0.3446,0,True,True,280595,220,49,"(3, 3)","(5, 5)",max,68
0.9101,0.3493,0,True,True,107502,243,11,"(4, 4)","(4, 4)",average,66
0.5132,1.5551,0,True,True,74075,28,52,"(3, 3)","(4, 4)",max,69
0.9768,0.1059,6,False,False,446435,162,16,"(5, 5)","(2, 2)",max,13
0.9341,0.2645,0,True,True,264167,71,45,"(4, 4)","(3, 3)",average,45
0.6884,1.0836,0,True,True,31615,40,29,"(3, 3)","(5, 5)",average,53
0.6317,1.1893,0,True,True,31120,30,39,"(2, 2)","(5, 5)",average,18
0.923,0.3189,0,True,True,43607,211,2,"(4, 4)","(3, 3)",average,37
0.9568,0.1883,0,True,True,1614656,238,83,"(4, 4)","(3, 3)",average,70
0.7659,0.902,0,True,True,254651,80,16,"(2, 2)","(2, 2)",average,62
0.9265,0.3469,0,True,True,71879,56,47,"(5, 5)","(5, 5)",max,41
0.9733,0.1391,0,True,True,1475630,107,81,"(5, 5)","(2, 2)",max,59
0.9237,0.2919,0,True,True,275186,125,11,"(2, 2)","(2, 2)",max,52
0.9712,0.1171,7,False,False,782771,246,16,"(3, 3)","(2, 2)",average,15
0.9169,0.2949,10,True,True,72791,215,6,"(2, 2)","(4, 4)",max,19
0.9622,0.1705,4,False,False,453793,238,11,"(5, 5)","(2, 2)",max,9
0.9695,0.1392,0,True,True,623716,185,41,"(3, 3)","(3, 3)",max,47
0.9678,0.1539,0,True,True,154175,105,22,"(5, 5)","(3, 3)",max,56
0.9439,0.1864,7,False,False,808138,250,65,"(2, 2)","(4, 4)",max,4
0.8198,0.6905,0,True,True,275471,106,52,"(2, 2)","(4, 4)",max,59
0.9563,0.176,0,True,True,319175,92,93,"(5, 5)","(4, 4)",average,9
0.9765,0.1023,0,True,True,2688260,182,87,"(4, 4)","(2, 2)",average,49
0.9718,0.1213,7,False,False,1216551,87,71,"(3, 3)","(2, 2)",max,12
0.9627,0.1497,0,True,True,629978,197,87,"(4, 4)","(4, 4)",average,45
0.9765,0.1076,6,False,False,205143,144,17,"(3, 3)","(3, 3)",max,5
0.9472,0.2256,0,True,True,334855,101,89,"(5, 5)","(4, 4)",average,30
0.9387,0.2471,0,True,True,343086,109,63,"(3, 3)","(4, 4)",average,22
0.9688,0.1253,0,True,True,1881494,233,99,"(3, 3)","(3, 3)",average,36
0.855,0.5559,0,True,True,94461,178,6,"(2, 2)","(3, 3)",average,46
0.9772,0.101,10,True,True,1037691,145,42,"(4, 4)","(2, 2)",average,23
0.9378,0.2885,0,True,True,70103,37,28,"(5, 5)","(3, 3)",max,30
0.9711,0.1236,0,True,True,255114,87,17,"(5, 5)","(2, 2)",max,29
0.8892,0.416,0,True,True,123013,46,53,"(3, 3)","(4, 4)",max,41
0.9591,0.1472,0,True,True,867543,235,45,"(2, 2)","(3, 3)",max,48
0.9686,0.1371,0,True,True,72311,177,10,"(5, 5)","(4, 4)",max,34
0.905,0.3247,0,True,True,417783,169,96,"(4, 4)","(5, 5)",average,53
0.9097,0.4101,0,True,True,692955,166,84,"(3, 3)","(4, 4)",average,62
0.7377,0.8525,0,True,True,61403,20,60,"(3, 3)","(4, 4)",max,10
0.9672,0.1298,0,True,True,403967,201,40,"(3, 3)","(4, 4)",max,30
0.9766,0.111,6,False,False,1160971,189,36,"(5, 5)","(2, 2)",average,8
0.9496,0.2197,0,True,True,817953,211,78,"(3, 3)","(4, 4)",average,58
0.9549,0.1836,4,False,False,1134620,257,89,"(3, 3)","(4, 4)",max,1
0.8142,0.7338,0,True,True,218645,59,74,"(3, 3)","(4, 4)",average,54
0.9732,0.1173,9,True,False,139847,131,40,"(5, 5)","(5, 5)",max,12
0.8067,0.6996,0,True,True,26499,108,8,"(2, 2)","(5, 5)",average,20
0.967,0.1536,0,True,True,690249,85,99,"(4, 4)","(3, 3)",average,36
0.9597,0.169,0,True,True,482843,199,37,"(5, 5)","(3, 3)",average,64
0.8549,0.5108,0,True,True,19826,71,9,"(5, 5)","(5, 5)",average,14
0.8585,0.532,0,True,True,80419,116,8,"(2, 2)","(3, 3)",average,55
0.9731,0.1153,0,True,True,180611,205,13,"(5, 5)","(3, 3)",max,54
0.6794,1.0683,0,True,True,8055,16,9,"(3, 3)","(4, 4)",average,9
0.9736,0.1067,8,False,False,4471111,237,96,"(2, 2)","(2, 2)",average,21
0.9849,0.077,0,True,True,501959,113,68,"(5, 5)","(3, 3)",max,31
0.978,0.1027,0,True,True,116927,151,20,"(5, 5)","(4, 4)",max,43
0.9718,0.1181,0,True,True,153779,256,22,"(5, 5)","(5, 5)",max,30
0.7266,0.959,0,True,True,32881,66,18,"(2, 2)","(5, 5)",average,31
0.9184,0.2996,0,True,True,455683,246,72,"(3, 3)","(5, 5)",max,66
0.4968,1.5936,0,True,True,175311,35,61,"(2, 2)","(3, 3)",average,27
0.9512,0.1781,7,False,False,1196529,198,74,"(2, 2)","(3, 3)",average,2
0.8086,0.6108,0,True,True,133175,95,54,"(2, 2)","(5, 5)",max,43
0.976,0.1077,0,True,True,509057,209,66,"(4, 4)","(4, 4)",max,47
0.9745,0.1129,7,False,False,226154,184,7,"(4, 4)","(2, 2)",max,14
0.9642,0.137,0,True,True,3049849,250,62,"(2, 2)","(2, 2)",max,42
0.9737,0.11,0,True,True,222341,122,70,"(4, 4)","(5, 5)",max,18
0.7713,0.8523,0,True,True,153867,45,68,"(3, 3)","(4, 4)",average,52
0.9033,0.367,0,True,True,36031,145,8,"(5, 5)","(5, 5)",average,38
0.9225,0.2878,10,False,False,63417,187,6,"(3, 3)","(4, 4)",average,5
0.9481,0.2132,0,True,True,21471,49,6,"(5, 5)","(3, 3)",max,23
0.9334,0.2629,0,True,True,153155,122,48,"(3, 3)","(5, 5)",max,35
0.9785,0.0974,6,False,False,367959,240,41,"(5, 5)","(4, 4)",max,15
0.9693,0.1109,10,True,True,1592612,235,83,"(3, 3)","(3, 3)",max,35
0.9423,0.2083,8,False,False,586205,193,61,"(2, 2)","(4, 4)",max,13
0.9732,0.1162,0,True,True,1499151,211,36,"(3, 3)","(2, 2)",max,62
0.9704,0.1412,0,True,True,139365,97,54,"(5, 5)","(5, 5)",max,34
0.9816,0.0819,0,True,True,1916903,221,44,"(3, 3)","(2, 2)",max,36
0.9755,0.1068,8,False,False,232478,238,37,"(4, 4)","(5, 5)",max,8
0.9069,0.4019,0,True,True,98479,59,20,"(2, 2)","(3, 3)",max,29
0.9596,0.17,0,True,True,324507,140,28,"(3, 3)","(3, 3)",average,24
0.9209,0.2757,9,False,False,485645,168,58,"(2, 2)","(4, 4)",average,0
0.9171,0.2979,0,True,True,370116,180,41,"(2, 2)","(4, 4)",max,43
0.9554,0.21,0,True,True,2146271,227,48,"(2, 2)","(2, 2)",average,65
0.9143,0.3226,0,True,True,323150,185,67,"(5, 5)","(5, 5)",average,58
0.9184,0.3486,0,True,True,108877,156,18,"(4, 4)","(4, 4)",average,66
0.9762,0.1022,9,True,False,279353,231,46,"(5, 5)","(5, 5)",max,18
0.9672,0.1347,5,False,False,990087,258,59,"(5, 5)","(3, 3)",average,9
0.9411,0.2233,0,True,True,186764,61,61,"(3, 3)","(4, 4)",max,22
0.71,0.9698,0,True,True,62435,104,22,"(3, 3)","(5, 5)",average,67
0.9547,0.2211,0,True,True,302432,174,67,"(4, 4)","(5, 5)",max,66
0.9663,0.1426,0,True,True,260039,209,33,"(5, 5)","(4, 4)",average,22
0.9174,0.3211,0,True,True,36335,192,4,"(4, 4)","(4, 4)",max,42
0.9739,0.1014,7,False,False,3070633,211,74,"(2, 2)","(2, 2)",average,20
0.9395,0.2679,0,True,True,30815,34,13,"(5, 5)","(3, 3)",max,7
0.9302,0.2969,0,True,True,23157,56,10,"(4, 4)","(4, 4)",max,32
0.8428,0.5721,0,True,True,278151,199,54,"(2, 2)","(5, 5)",average,42
0.9876,0.0654,0,True,True,651039,194,91,"(5, 5)","(4, 4)",max,35
0.9577,0.1625,0,True,True,949541,176,66,"(2, 2)","(3, 3)",max,14
0.5822,1.4885,0,True,True,45500,20,13,"(4, 4)","(2, 2)",max,50
0.9401,0.2311,9,False,False,124012,121,5,"(2, 2)","(2, 2)",average,3
0.9746,0.1159,0,True,True,718283,140,30,"(5, 5)","(2, 2)",average,32
0.9595,0.1815,0,True,True,560780,251,27,"(3, 3)","(3, 3)",average,62
0.8973,0.3492,0,True,True,483173,233,81,"(2, 2)","(5, 5)",max,35
0.9739,0.1164,0,True,True,340292,161,57,"(4, 4)","(4, 4)",max,37
0.9739,0.11,0,True,True,2974757,206,85,"(5, 5)","(2, 2)",average,52
0.8456,0.5588,0,True,True,85705,46,71,"(3, 3)","(5, 5)",max,34
0.6563,1.2491,0,True,True,5043,24,2,"(3, 3)","(3, 3)",average,62
0.9053,0.3863,0,True,True,233439,94,30,"(3, 3)","(3, 3)",average,58
0.7312,0.8507,0,True,True,16623,139,3,"(2, 2)","(5, 5)",max,46
0.7605,0.7923,0,True,True,28835,55,19,"(2, 2)","(5, 5)",average,16
0.9501,0.2065,0,True,True,867107,50,88,"(3, 3)","(2, 2)",average,25
0.5673,1.3419,0,True,True,157833,19,42,"(2, 2)","(2, 2)",average,7
0.963,0.1657,0,True,True,562059,61,54,"(4, 4)","(2, 2)",average,19
0.9793,0.1334,0,True,True,1392027,217,99,"(5, 5)","(3, 3)",max,69
0.9739,0.1059,0,True,True,447683,184,94,"(5, 5)","(5, 5)",max,28
0.9709,0.1433,0,True,True,201981,110,22,"(4, 4)","(3, 3)",average,21
0.9398,0.228,0,True,True,252050,164,59,"(4, 4)","(5, 5)",average,8
0.9781,0.1037,6,False,False,386319,178,33,"(5, 5)","(3, 3)",max,7
0.9365,0.3163,0,True,True,60807,51,14,"(4, 4)","(3, 3)",max,54
0.938,0.2199,9,False,False,286688,139,79,"(5, 5)","(5, 5)",average,8
0.5544,1.5066,0,True,True,11915,24,16,"(5, 5)","(5, 5)",average,62
0.9692,0.1248,7,False,False,337191,135,38,"(5, 5)","(3, 3)",max,18
0.9755,0.1082,8,True,False,3162807,201,80,"(3, 3)","(2, 2)",average,30
0.978,0.1073,0,True,True,103431,200,13,"(5, 5)","(4, 4)",max,55
0.9619,0.1707,0,True,True,40883,56,26,"(5, 5)","(5, 5)",max,20
0.4548,1.8221,0,True,True,1399,16,1,"(5, 5)","(4, 4)",max,45
0.919,0.3281,0,True,True,925031,239,78,"(2, 2)","(4, 4)",average,53
0.6555,1.0993,0,True,True,128771,55,91,"(2, 2)","(5, 5)",max,55
0.9768,0.0967,0,True,True,1140277,186,75,"(3, 3)","(3, 3)",max,29
0.8808,0.4396,0,True,True,210365,113,37,"(2, 2)","(4, 4)",average,32
0.9482,0.2142,0,True,True,688016,104,81,"(2, 2)","(3, 3)",average,33
0.6165,1.6082,0,True,True,173931,18,56,"(4, 4)","(2, 2)",max,38
0.8302,0.6988,0,True,True,474223,79,73,"(4, 4)","(3, 3)",average,68
0.9612,0.1525,10,True,True,1598525,131,62,"(2, 2)","(2, 2)",average,13
0.9837,0.0827,5,False,False,1081207,256,65,"(5, 5)","(3, 3)",max,9
0.952,0.1873,9,False,False,127317,231,14,"(4, 4)","(4, 4)",average,8
0.9617,0.1865,0,True,True,414655,95,53,"(4, 4)","(3, 3)",average,41
0.9544,0.1909,0,True,True,1506988,111,69,"(2, 2)","(2, 2)",average,11
0.9716,0.1194,0,True,True,1804757,218,42,"(2, 2)","(2, 2)",max,42
0.698,1.0676,0,True,True,194471,61,16,"(3, 3)","(2, 2)",average,70
0.9013,0.3678,0,True,True,388379,247,61,"(2, 2)","(5, 5)",average,20
0.9445,0.2426,0,True,True,68023,70,25,"(5, 5)","(4, 4)",max,58
0.8074,0.619,0,True,True,110183,105,40,"(2, 2)","(5, 5)",max,44
0.9799,0.0947,8,True,False,366587,220,64,"(5, 5)","(5, 5)",max,8
0.964,0.1432,0,True,True,1246439,254,60,"(2, 2)","(3, 3)",max,49
0.9215,0.28,0,True,True,231758,89,99,"(5, 5)","(5, 5)",average,13
0.9173,0.3692,0,True,True,416468,89,57,"(3, 3)","(3, 3)",average,56
0.9521,0.2006,0,True,True,847133,113,38,"(2, 2)","(2, 2)",average,31
0.9683,0.1358,0,True,True,817511,257,16,"(2, 2)","(2, 2)",average,44
0.9414,0.2588,0,True,True,130985,153,10,"(3, 3)","(3, 3)",average,53
0.7678,0.8041,0,True,True,63239,29,80,"(4, 4)","(5, 5)",max,11
0.7036,1.0247,0,True,True,187155,76,93,"(5, 5)","(5, 5)",max,65
0.98,0.1027,0,True,True,1455459,178,48,"(5, 5)","(2, 2)",average,53
0.334,2.2879,0,True,True,446974,36,63,"(2, 2)","(2, 2)",average,66
0.7461,0.8963,0,True,True,4895,50,2,"(5, 5)","(5, 5)",average,16
0.9591,0.1587,0,True,True,537935,146,74,"(3, 3)","(4, 4)",average,12
0.9445,0.2163,0,True,True,79587,160,18,"(3, 3)","(5, 5)",max,34
0.9252,0.3466,0,True,True,238255,48,75,"(5, 5)","(3, 3)",average,32
0.9375,0.2619,0,True,True,244953,177,53,"(4, 4)","(5, 5)",average,41
0.9479,0.2139,9,False,False,381776,47,99,"(3, 3)","(3, 3)",average,1
0.9626,0.1502,0,True,True,650070,147,89,"(3, 3)","(4, 4)",max,39
0.9736,0.1095,6,False,False,2165095,177,72,"(4, 4)","(2, 2)",average,23
0.8834,0.4506,0,True,True,212255,156,52,"(4, 4)","(5, 5)",average,52
0.9624,0.1483,8,False,False,306760,183,45,"(4, 4)","(4, 4)",average,2
0.7584,0.8152,0,True,True,51384,54,35,"(4, 4)","(5, 5)",average,33
0.9197,0.3848,0,True,True,322254,100,39,"(4, 4)","(3, 3)",average,69
0.9794,0.0947,7,False,False,618031,103,92,"(5, 5)","(3, 3)",max,5
0.8443,0.5652,0,True,True,160291,108,57,"(3, 3)","(5, 5)",average,41
0.9749,0.1034,0,True,True,540623,203,72,"(5, 5)","(4, 4)",max,43
0.9187,0.3521,0,True,True,290939,137,82,"(4, 4)","(5, 5)",average,51
0.9763,0.1052,6,False,False,1056386,247,25,"(5, 5)","(2, 2)",max,23
0.5144,1.6296,0,True,True,562118,49,67,"(5, 5)","(2, 2)",max,68
0.9207,0.2914,10,True,False,173062,112,59,"(4, 4)","(5, 5)",average,2
0.4538,1.6991,0,True,True,13250,191,1,"(3, 3)","(5, 5)",max,67
0.8937,0.3965,0,True,True,97887,51,50,"(5, 5)","(4, 4)",max,46
0.9607,0.1419,7,False,False,1658351,242,84,"(2, 2)","(3, 3)",max,22
0.9747,0.1176,7,False,False,1794620,185,57,"(5, 5)","(2, 2)",average,18
0.9734,0.113,6,False,False,285622,119,29,"(3, 3)","(3, 3)",max,4
0.9814,0.0849,6,False,False,797954,229,95,"(4, 4)","(4, 4)",max,1
0.8908,0.3958,0,True,True,195564,190,39,"(4, 4)","(5, 5)",average,55
0.9573,0.1657,0,True,True,815611,116,86,"(3, 3)","(3, 3)",average,33
0.8982,0.4184,0,True,True,207663,131,19,"(2, 2)","(3, 3)",average,53
0.8399,0.5705,0,True,True,98276,144,13,"(2, 2)","(4, 4)",average,41
0.7534,0.885,0,True,True,190775,26,37,"(3, 3)","(2, 2)",average,53
0.9154,0.3864,0,True,True,1456781,137,54,"(2, 2)","(2, 2)",max,67
0.8234,0.624,0,True,True,106373,57,37,"(2, 2)","(4, 4)",max,39
0.9592,0.1673,0,True,True,177572,65,33,"(3, 3)","(3, 3)",max,25
0.9576,0.1806,0,True,True,1328511,179,91,"(2, 2)","(3, 3)",average,23
0.943,0.2461,0,True,True,634711,81,96,"(2, 2)","(3, 3)",max,39
0.8712,0.5237,0,True,True,305111,48,37,"(5, 5)","(2, 2)",max,46
0.6756,1.0555,0,True,True,77057,64,46,"(2, 2)","(5, 5)",max,66
0.9004,0.3923,0,True,True,96425,221,2,"(2, 2)","(2, 2)",max,54
0.9812,0.0977,0,True,True,208015,183,30,"(5, 5)","(4, 4)",max,40
0.9088,0.3212,0,True,True,281747,194,56,"(3, 3)","(5, 5)",max,61
0.9645,0.1413,6,False,False,160427,89,68,"(5, 5)","(5, 5)",max,0
0.9239,0.3422,0,True,True,522999,179,79,"(5, 5)","(4, 4)",average,62
0.7701,0.779,0,True,True,103340,59,67,"(3, 3)","(5, 5)",average,38
0.889,0.4504,0,True,True,12684,18,17,"(4, 4)","(4, 4)",max,6
0.9356,0.3238,0,True,True,175829,94,50,"(4, 4)","(4, 4)",average,56
0.973,0.114,5,False,False,686171,164,51,"(3, 3)","(3, 3)",max,3
0.7553,0.8271,0,True,True,284002,126,45,"(2, 2)","(4, 4)",average,57
0.9668,0.142,0,True,True,3827398,205,95,"(2, 2)","(2, 2)",average,56
0.9805,0.0841,10,True,True,458594,197,63,"(4, 4)","(4, 4)",max,20
0.6691,1.0957,0,True,True,27311,189,4,"(2, 2)","(5, 5)",max,61
0.885,0.4326,0,True,True,58019,236,8,"(4, 4)","(5, 5)",average,67
0.9463,0.2129,0,True,True,1322375,80,97,"(5, 5)","(2, 2)",average,58
0.9498,0.2158,0,True,True,95883,94,12,"(3, 3)","(3, 3)",max,46
0.9629,0.1447,0,True,True,898422,241,75,"(3, 3)","(4, 4)",average,30
0.9244,0.2927,0,True,True,198717,198,38,"(4, 4)","(5, 5)",average,36
0.8833,0.4781,0,True,True,25711,42,15,"(5, 5)","(4, 4)",average,29
0.9794,0.1046,5,False,False,2218235,225,58,"(4, 4)","(2, 2)",max,9
0.9631,0.1391,0,True,True,1416675,193,90,"(2, 2)","(3, 3)",max,25
0.9408,0.2341,0,True,True,62107,48,48,"(4, 4)","(5, 5)",max,8
0.9311,0.3202,0,True,True,162999,47,91,"(5, 5)","(4, 4)",max,17
0.8729,0.5053,0,True,True,582791,87,82,"(2, 2)","(3, 3)",max,62
0.9778,0.1011,0,True,True,122127,138,23,"(5, 5)","(4, 4)",max,31
0.969,0.1532,0,True,True,3177137,193,97,"(4, 4)","(2, 2)",max,68
0.9728,0.1246,7,False,False,126252,206,7,"(4, 4)","(3, 3)",max,14
0.722,0.9433,0,True,True,22847,27,16,"(3, 3)","(4, 4)",average,16
0.973,0.133,4,False,False,464918,207,13,"(5, 5)","(2, 2)",max,5
0.8928,0.4301,0,True,True,144492,141,5,"(2, 2)","(2, 2)",average,59
0.9549,0.2181,0,True,True,1006991,111,46,"(3, 3)","(2, 2)",average,58
0.9757,0.11,0,True,True,4005617,251,94,"(5, 5)","(2, 2)",average,54
0.9575,0.1952,0,True,True,438359,146,81,"(5, 5)","(4, 4)",average,48
0.9672,0.1296,8,False,False,196503,95,55,"(5, 5)","(4, 4)",average,3
0.8733,0.4655,0,True,True,62903,63,37,"(4, 4)","(5, 5)",max,38
0.9529,0.1703,9,False,False,581219,242,48,"(3, 3)","(4, 4)",average,9
0.8554,0.5354,0,True,True,80570,118,13,"(2, 2)","(4, 4)",average,27
0.9748,0.1094,0,True,True,778551,187,21,"(3, 3)","(2, 2)",max,40
0.5312,1.4619,0,True,True,56803,33,66,"(2, 2)","(5, 5)",average,44
0.8544,0.5515,0,True,True,324077,41,46,"(5, 5)","(2, 2)",average,29
0.9764,0.102,0,True,True,450653,236,74,"(4, 4)","(5, 5)",max,30
0.9558,0.1887,0,True,True,320091,192,20,"(3, 3)","(3, 3)",average,33
0.971,0.1239,0,True,True,1801331,230,96,"(3, 3)","(3, 3)",average,38
0.8437,0.5372,9,False,False,19277,203,2,"(5, 5)","(5, 5)",average,4
0.7369,0.8341,0,True,True,22692,190,3,"(2, 2)","(5, 5)",max,24
0.9662,0.1565,0,True,True,287252,164,21,"(4, 4)","(3, 3)",average,53
0.9777,0.0986,0,True,True,429515,156,16,"(4, 4)","(2, 2)",average,33
0.8268,0.6666,0,True,True,180412,70,31,"(4, 4)","(3, 3)",max,66
0.9764,0.108,0,True,True,272847,203,16,"(4, 4)","(3, 3)",max,36
0.9737,0.1245,0,True,True,1284611,83,91,"(4, 4)","(2, 2)",average,34
0.9757,0.1112,5,False,False,1644995,144,58,"(3, 3)","(2, 2)",max,12
0.9406,0.2409,0,True,True,157807,87,36,"(2, 2)","(4, 4)",max,17
0.8712,0.5377,0,True,True,70819,82,32,"(4, 4)","(5, 5)",max,65
0.9762,0.1114,0,True,True,727567,177,24,"(5, 5)","(2, 2)",max,55
0.9243,0.2656,0,True,True,374571,220,66,"(3, 3)","(5, 5)",average,30
0.9771,0.1052,7,False,False,100839,124,21,"(5, 5)","(4, 4)",max,1
0.9354,0.2724,0,True,True,501931,102,60,"(3, 3)","(3, 3)",max,46
0.9674,0.1501,0,True,True,330359,168,76,"(4, 4)","(5, 5)",max,47
0.8378,0.5822,0,True,True,55175,103,10,"(2, 2)","(4, 4)",average,26
0.6173,1.2007,0,True,True,22820,33,25,"(3, 3)","(5, 5)",max,40
0.7712,0.8194,0,True,True,165562,40,83,"(2, 2)","(4, 4)",average,29
0.976,0.1005,0,True,True,274631,93,79,"(5, 5)","(4, 4)",max,16
0.9794,0.0936,0,True,True,2891959,213,69,"(3, 3)","(2, 2)",max,45
0.9248,0.2992,0,True,True,29678,194,3,"(4, 4)","(4, 4)",max,38
0.9534,0.1647,6,False,False,1457737,246,30,"(2, 2)","(2, 2)",average,10
0.8162,0.6562,0,True,True,86783,61,28,"(2, 2)","(4, 4)",average,20
0.5686,1.3753,0,True,True,79429,40,74,"(4, 4)","(5, 5)",average,63
0.9813,0.0881,7,True,False,375791,94,61,"(5, 5)","(3, 3)",max,6
0.8696,0.4958,0,True,True,25991,59,8,"(3, 3)","(4, 4)",average,30
0.6572,1.2224,0,True,True,472595,26,92,"(3, 3)","(2, 2)",max,58
0.5328,1.6486,0,True,True,100779,30,86,"(5, 5)","(4, 4)",max,37
0.8674,0.4212,10,True,True,467345,201,91,"(2, 2)","(5, 5)",average,9
0.9698,0.1165,7,False,False,603527,245,96,"(4, 4)","(5, 5)",max,5
0.9727,0.1224,10,True,False,505259,119,65,"(5, 5)","(3, 3)",average,13
0.9255,0.3236,0,True,True,36968,173,1,"(5, 5)","(2, 2)",average,51
0.8038,0.7566,0,True,True,573023,134,86,"(3, 3)","(4, 4)",average,70
0.8789,0.4037,0,True,True,434731,229,74,"(2, 2)","(5, 5)",max,55
0.9686,0.1369,5,False,False,1311835,164,98,"(3, 3)","(3, 3)",max,5
0.9005,0.4267,0,True,True,172647,90,38,"(3, 3)","(4, 4)",max,62
0.9326,0.3349,0,True,True,169772,56,81,"(4, 4)","(4, 4)",max,29
0.9304,0.2867,0,True,True,316119,253,48,"(3, 3)","(5, 5)",max,67
0.9669,0.1414,0,True,True,334135,92,44,"(4, 4)","(3, 3)",average,11
0.6749,1.0917,0,True,True,5674,19,5,"(3, 3)","(4, 4)",average,25
0.9799,0.0919,5,False,False,666967,201,90,"(5, 5)","(4, 4)",max,4
0.8972,0.4276,0,True,True,604666,37,83,"(2, 2)","(2, 2)",average,12
0.8116,0.7007,0,True,True,85679,47,48,"(4, 4)","(4, 4)",average,41
0.9264,0.2825,0,True,True,520608,166,63,"(2, 2)","(4, 4)",average,11
0.9574,0.172,0,True,True,1656921,257,79,"(2, 2)","(3, 3)",max,60
0.9831,0.0823,0,True,True,1050557,256,50,"(4, 4)","(3, 3)",max,59
0.9734,0.1073,0,True,True,1259252,252,61,"(4, 4)","(3, 3)",average,41
0.7511,0.8133,0,True,True,17519,121,4,"(2, 2)","(5, 5)",average,18
0.8147,0.7865,0,True,True,123443,44,42,"(5, 5)","(3, 3)",average,59
0.9556,0.1795,8,False,False,46715,83,20,"(5, 5)","(5, 5)",max,2
0.932,0.2673,9,True,True,34877,41,30,"(5, 5)","(5, 5)",max,1
0.7422,0.839,0,True,True,51909,39,50,"(3, 3)","(5, 5)",max,55
0.8072,0.6773,0,True,True,56078,49,43,"(3, 3)","(5, 5)",average,20
0.9508,0.2024,0,True,True,48508,79,7,"(3, 3)","(3, 3)",max,11
0.9755,0.103,0,True,True,574727,213,73,"(5, 5)","(4, 4)",max,58
0.9437,0.2126,8,False,False,266081,218,6,"(2, 2)","(2, 2)",average,1
0.969,0.1292,0,True,True,900767,140,99,"(5, 5)","(3, 3)",average,18
0.9385,0.2186,0,True,True,91511,205,16,"(3, 3)","(5, 5)",max,33
0.6837,1.1128,0,True,True,637718,41,79,"(2, 2)","(2, 2)",average,48
0.9218,0.2931,10,True,False,113902,86,35,"(4, 4)","(4, 4)",average,4
0.9308,0.2836,0,True,True,28614,187,3,"(4, 4)","(4, 4)",max,22
0.933,0.256,0,True,True,96207,100,36,"(4, 4)","(5, 5)",max,51
0.9491,0.1789,10,True,True,631935,179,43,"(2, 2)","(3, 3)",average,13
0.8176,0.6737,0,True,True,122066,59,77,"(5, 5)","(5, 5)",average,46
0.96,0.2294,0,True,True,1504612,186,99,"(4, 4)","(3, 3)",max,70
0.8704,0.5186,0,True,True,221069,89,30,"(3, 3)","(3, 3)",average,67
0.9733,0.1178,0,True,True,1266504,212,73,"(4, 4)","(3, 3)",average,28
0.9376,0.2529,0,True,True,161127,51,38,"(4, 4)","(3, 3)",average,27
0.4912,1.6233,0,True,True,143259,60,92,"(3, 3)","(5, 5)",average,70
0.9737,0.112,10,True,True,189385,97,74,"(5, 5)","(5, 5)",max,8
0.8956,0.3924,0,True,True,201011,115,67,"(4, 4)","(5, 5)",average,37
0.873,0.4514,0,True,True,350075,119,59,"(2, 2)","(4, 4)",average,7
